======= en-ar =======
#sentence #tokens
    1958    26837 /en-ar/raw/ted_dev_en-ar.raw.ar
    1958    32156 /en-ar/raw/ted_dev_en-ar.raw.en
    1982    24824 /en-ar/raw/ted_test1_en-ar.raw.ar
    1982    30606 /en-ar/raw/ted_test1_en-ar.raw.en
  175377  2553500 /en-ar/raw/ted_train_en-ar.raw.ar
  175377  3070747 /en-ar/raw/ted_train_en-ar.raw.en
    1958    30334 /en-ar/tok/ted_dev_en-ar.tok.ar
    1958    38438 /en-ar/tok/ted_dev_en-ar.tok.en
    1958     4183 /en-ar/tok/ted_dev_en-ar.tok.seekvideo
    1982    28636 /en-ar/tok/ted_test1_en-ar.tok.ar
    1982    36499 /en-ar/tok/ted_test1_en-ar.tok.en
    1982     3705 /en-ar/tok/ted_test1_en-ar.tok.seekvideo
  175377  2854741 /en-ar/tok/ted_train_en-ar.tok.ar
  174327  2772024 /en-ar/tok/ted_train_en-ar.tok.clean.ar
  174327  3514488 /en-ar/tok/ted_train_en-ar.tok.clean.en
  174327   392487 /en-ar/tok/ted_train_en-ar.tok.clean.seekvideo
  175377  3619437 /en-ar/tok/ted_train_en-ar.tok.en
======= en-bg =======
#sentence #tokens
    1958    29193 /en-bg/raw/ted_dev_en-bg.raw.bg
    1958    32156 /en-bg/raw/ted_dev_en-bg.raw.en
    1982    27890 /en-bg/raw/ted_test1_en-bg.raw.bg
    1982    30606 /en-bg/raw/ted_test1_en-bg.raw.en
  165350  2601951 /en-bg/raw/ted_train_en-bg.raw.bg
  165350  2883185 /en-bg/raw/ted_train_en-bg.raw.en
    1958    35141 /en-bg/tok/ted_dev_en-bg.tok.bg
    1958    38438 /en-bg/tok/ted_dev_en-bg.tok.en
    1958     4183 /en-bg/tok/ted_dev_en-bg.tok.seekvideo
    1982    33631 /en-bg/tok/ted_test1_en-bg.tok.bg
    1982    36499 /en-bg/tok/ted_test1_en-bg.tok.en
    1982     3705 /en-bg/tok/ted_test1_en-bg.tok.seekvideo
  165350  3112551 /en-bg/tok/ted_train_en-bg.tok.bg
  164336  3021084 /en-bg/tok/ted_train_en-bg.tok.clean.bg
  164336  3298234 /en-bg/tok/ted_train_en-bg.tok.clean.en
  164336   369301 /en-bg/tok/ted_train_en-bg.tok.clean.seekvideo
  165350  3398860 /en-bg/tok/ted_train_en-bg.tok.en
======= en-cs =======
#sentence #tokens
